Título,Precio,Ubicación,Enlace
Local en arriendo,$35.000.000,"Chapinero Norte, Chapinero, Bogotá D.C.",https://inmueble.mercadolibre.com.co/MCO-2350992620-local-en-arriendoventa-en-bogota-cod-a1100009-_JM#polycard_client=search-nordic&position=1&search_layout=grid&type=item&tracking_id=071411b1-fda7-4378-ba26-5d45ab345626
Local en arriendo,$4.700.000,"LA MERCED NORTE, La Merced Norte, Barrios Unidos, Bogotá D.C.",https://inmueble.mercadolibre.com.co/MCO-2234973522-locales-en-arriendo-la-merced-norte-172-1560-_JM#polycard_client=search-nordic&position=2&search_layout=grid&type=item&tracking_id=071411b1-fda7-4378-ba26-5d45ab345626
Local en arriendo,$1.300.000,"TUNJUELITO, Tunjuelito, Bogotá D.C.",https://inmueble.mercadolibre.com.co/MCO-2315191394-locales-en-arriendo-tunjuelito-462-553-_JM#polycard_client=search-nordic&position=3&search_layout=grid&type=item&tracking_id=071411b1-fda7-4378-ba26-5d45ab345626
Local en arriendo,$1.150.000,"LA ESTRADITA, La Estradita, Engativa, Bogotá D.C.",https://inmueble.mercadolibre.com.co/MCO-1397256823-locales-en-arriendo-la-estradita-172-633-_JM#polycard_client=search-nordic&position=4&search_layout=grid&type=item&tracking_id=071411b1-fda7-4378-ba26-5d45ab345626
Local en arriendo,$1.400.000,"Calle 52 #23-37, Galerías, Teusaquillo, Bogotá D.C.",https://inmueble.mercadolibre.com.co/MCO-1454107335-local-galerias-_JM#polycard_client=search-nordic&position=5&search_layout=grid&type=item&tracking_id=071411b1-fda7-4378-ba26-5d45ab345626
Local en arriendo,$10.000.000,"El Salitre, Teusaquillo, Bogotá D.C.",https://inmueble.mercadolibre.com.co/MCO-1431413933-local-en-arriendo-en-el-salitre-teusaquillo-cod-a1614355-_JM#polycard_client=search-nordic&position=6&search_layout=grid&type=item&tracking_id=071411b1-fda7-4378-ba26-5d45ab345626
Local en arriendo,$4.500.000,"Avenida Carrera 14 #54-41, Chapinero Central, Chapinero, Bogotá D.C.",https://inmueble.mercadolibre.com.co/MCO-1395210701-local-en-chapinero-para-renta-_JM#polycard_client=search-nordic&position=7&search_layout=grid&type=item&tracking_id=071411b1-fda7-4378-ba26-5d45ab345626
Local en arriendo,$800.000,"Cl. 61 #11-9, Chapinero Central, Chapinero, Bogotá D.C.",https://inmueble.mercadolibre.com.co/MCO-2587468526-expectaculares-locales-en-el-centro-cemercial-colors61-para-pizzeiias-cafeterias-comidas-rapidas-completamente-dotados-listos-para-iniciar-a-trabajar--_JM#polycard_client=search-nordic&position=8&search_layout=grid&type=item&tracking_id=071411b1-fda7-4378-ba26-5d45ab345626
Local en arriendo,$4.500.000,"Santa Bárbara, Usaquén, Bogotá D.C.",https://inmueble.mercadolibre.com.co/MCO-2397091284-local-en-arriendo-en-usaquen-cod-a1064-_JM#polycard_client=search-nordic&position=9&search_layout=grid&type=item&tracking_id=071411b1-fda7-4378-ba26-5d45ab345626
Local en arriendo,$15.000.000,"El Toberín, Usaquén, Bogotá D.C.",https://inmueble.mercadolibre.com.co/MCO-1422692265-local-en-arriendo-en-el-toberin-cod-a1092006-_JM#polycard_client=search-nordic&position=10&search_layout=grid&type=item&tracking_id=071411b1-fda7-4378-ba26-5d45ab345626
